== TRUE POSITIVES (103) ==
fathom/apps/arbwatch/main.hl:500:9 | hashmap-insert | INVOKED | DislocationCompute::on_book | tob.set: TobSlot.packed String refreshed per book msg; slow leak: string anchor per set, md rate, long-lived child
fathom/apps/dashboard/main.hl:1007:9 | hashmap-insert | INVOKED | SubscriberSink::on_venue_balance | venuebals.set: packed String refreshed per VenueBalance; slow leak: string anchor per set
fathom/apps/dashboard/main.hl:1031:9 | hashmap-insert | INVOKED | SubscriberSink::on_recon_report | reconreports.set: packed+orphans Strings refreshed per recon report; slow leak: string anchor per set
fathom/apps/dashboard/main.hl:1057:9 | hashmap-insert | INVOKED | SubscriberSink::on_risk_limit | desklims.set: value String refreshed per limit broadcast; slow leak: string anchor per set
fathom/apps/dashboard/main.hl:1076:9 | hashmap-insert | INVOKED | SubscriberSink::on_risk_safety | desksafety.set: five String value fields refreshed per periodic DeskSafety; slow leak: string anchor per set
fathom/apps/dashboard/main.hl:1100:9 | hashmap-insert | INVOKED | SubscriberSink::on_desk_position | deskpos.set: packed String refreshed per position broadcast; slow leak: string anchor per set, long-lived daemon
fathom/apps/dashboard/main.hl:444:9 | hashmap-insert | INVOKED | SubscriberSink::on_heartbeat | apps.set: subs snapshot String refreshed per 30s beat per app; slow leak: string anchor per set
fathom/apps/dashboard/main.hl:727:9 | hashmap-insert | INVOKED | SubscriberSink::wire_skew_upsert | wireskew.set: packed String refreshed PER MD FRAME (every tick/signal); string anchor per set — fastest leak in this chunk
fathom/apps/dashboard/main.hl:924:9 | hashmap-insert | INVOKED | SubscriberSink::on_probe | probesigs.set: packed String refreshed per probe fill signal; slow leak: string anchor per set
fathom/apps/dashboard/main.hl:938:9 | hashmap-insert | INVOKED | SubscriberSink::on_strategy_fleet | stratfleet.set: fleet/disabled/mode Strings refreshed per read-back; slow leak: string anchor per set
fathom/apps/dashboard/main.hl:989:9 | hashmap-insert | INVOKED | SubscriberSink::on_risk_snapshot | deskbals.set: packed String refreshed per periodic risk.snapshot; slow leak: string anchor per set
fathom/apps/ledger/main.hl:710:24 | hashmap-insert | INVOKED | Ledger::on_fill | fills_seen.set keyed by venue_fill_id: unbounded key domain, no removal ever — one row per fill for daemon life
fathom/apps/ledger/main.hl:798:9 | hashmap-insert | INVOKED | Ledger::on_order_request | attr.set keyed by order_id: unbounded key domain, never pruned — grows per accepted order forever
fathom/apps/priceview/main.hl:729:9 | hashmap-insert | INVOKED | PvDemand::dem_set | bounded leg-key domain but DemandSlot.key is a fresh String anchored per set into long-lived PvDemand arena; slow leak: string anchor per set
fathom/apps/priceview/main.hl:740:9 | hashmap-insert | INVOKED | PvDemand::sa_set | SigActiveSlot.key fresh String anchored per set into locus arena; fires per sig-sub change; slow leak: string anchor per set
fathom/apps/priceview/main.hl:913:30 | hashmap-insert | LOOP | PvDemand::on_sig_unsub_all | same demand.set anchor leak: re-anchors every leg-key String per unsub_all sweep; old clones never freed
fathom/apps/prober/main.hl:266:9 | hashmap-insert | INVOKED | Prober::net_set | NetSlot.packed = to_string(q) anchored per set, per desk.position/fill update; slow leak: string anchor per set
fathom/apps/prober/main.hl:279:9 | hashmap-insert | INVOKED | Prober::mark_set | MarkSlot.packed = to_string(mid) anchored per set, called EVERY depth tick (line 419) — fastest leak in chunk
fathom/apps/prober/main.hl:290:9 | hashmap-insert | INVOKED | Prober::lean_set | LeanSlot.key fresh concat String anchored per set into Prober arena; lean transitions unbounded over lifetime; slow leak: string anchor per set
fathom/apps/riskgw/main.hl:1006:20 | struct DeskConfig | INVOKED | RiskGw::on_alloc_set | self.cfg compound assign: fresh String subfields (whole config text) anchored per alloc.set edit, old clone unfreed; slow
fathom/apps/riskgw/main.hl:1062:13 | hashmap-insert | INVOKED | RiskGw::on_balance | venue_bal.set: bounded venue|asset keys, String key+account refreshed per ~30s balance tick; slow leak: string anchor per set
fathom/apps/riskgw/main.hl:1299:13 | hashmap-insert | INVOKED | RiskGw::reconcile_position | positions.set per CHANGED dedicated-desk balance tick: fresh key+packed anchored; slow leak: string anchor per set
